N° Enr.;ID_Potentialité;IDZoneIDCadre;Potentialités;Ressources;IDZone;IDCadre
12;568;1102060931;"Pratique de l’élevage des  porcs,  de l’apiculture,  de  la  pisciculture,  de l’aviculture, l’élevage des aulacodes .
Existence    des    fermes    avicoles (élevage extensif des poulets)
Pratique  de  l’élevage  artisanal  par les populations.
Octroi  de  financement  aux  éleveurs par le PACA.
Existence   d’un   couloir   de transhumance-Pratique de la pêche artisanale
Proximité avec la Sanaga-Présence de plusieurs cours d’eau ( fleuve Nachtigal......)
Présence    de    plusieurs    espèces halieutiques(  Tilapia,  carpes,  silures, crevettes,)
Existence d’une DAEPIA-Fréquence     des     campagnes     de vaccination des espèces animales.";;110206;0931
13;569;1102060640;"Existence d’un CMA fonctionnel avec un médecin chef-Existence d’une pharmacie
Régularité des campagnes de vaccination-Traitement gratuit du paludisme simple pour les enfants de 0 - 5 ans
Distribution gratuite des moustiquaires imprégnées aux femmes enceintes 
La proximité de Batchenga avec Obala(17km) et Yaoundé(55km) pour l’obtention des soins de santé.
Présence des personnels de santé retraité dans l’espace urbain-Existence d’un groupe électrogène à l’hôpital";;110206;0640
14;570;1102060836;"Assistance technique de la Commune par la délégation départementale.( élaboration projet routier, montage de dossier et entretien du réseau routier)
La commune est desservie par le national n° bitumé.
Existence du projet de construction de la nationale numéro 15 reliant Batchenga, Yoko, Tibati,Ngaoundéré.";;110206;0836
15;571;1102060415;"Existence de deux écoles primaires publique (EP Centre Batchenga1 et 2) dans la zone urbaine, d’une école publique bilingue, d’une école privée laïque(JBS)
Existence d’une école maternelle publique.
Présence de 05 instituteurs contractualisés, d’une directrice à l’école maternelle.
Forte population en âge scolaire.
Taux de scolarisation élevé de la jeune fille (60% de fille à lamaternelle et environ 49 % de filles à l’école primaire.)";;110206;0415
16;572;1102060243;"Célébration des mariages collectives
Forte implication des femmes dans les activités économiques
Représentativité des femmes dans le conseil municipal";;110206;0243
17;573;1102060742;"Fort pourcentage  de personnes handicapées œuvrant dans des activités diverses (call box, couture, petit commerce, agriculture, artisanat)
Présence grandissante des personnes âgées dans l’espace communal.
Augmentation de la population de la petite enfance et de l’enfance.";;110206;0742
18;574;1102060832;"Existence du réseau SNEC
Existence de nombreux puits dans les concessions.
Existence de trois forages fonctionnels dans l’espace urbain.
Existence des comités de gestion des ouvrages hydrauliques.";;110206;0832
19;575;1102060832;"Existence du  réseau électrique AES SONEL
Existence des chutes de Nachtigal
Proximité de Batchenga avec Obala pour l’approvisionnement en produits pétroliers. ";;110206;0832
20;576;1102060425;"Existence d’un lycée d’enseignement général, d’un CETIC
Forte scolarisation des élèves.
Fort taux de scolarisation des filles.
Existence d’une APEE et de conseils d’établissement.";;110206;0425
21;577;1102060735;"Présence de personnes formées dans divers domaines (mécanique, menuiserie, maçonnerie)
Existence d’opportunités d’emploi ";;110206;0735
22;578;1102060741;Descentes régulières des autorités compétentes pour la sensibilisation quant à l’affiliation des travailleurs à la CNPS et à l’extension de la sécurité sociale. ;;110206;0741
23;579;1102060523;Existence de sites touristiques (chutes de Nachtigal, );;110206;0523
24;580;1102060033;"Présence de patrouille  de contrôle de forets et chasse à Batchenga.
Présence de plusieurs espèces fauniques: porcs épic, hérissons, rats palmistes, biches
Existence de forêts galeries, des savanes,-Existence de quelques initiatives de reboisement
Existence de Produits Forestiers Non Ligneux (djansan, mangues sauvages, «fruits noirs», Okok)
Existence de quelques essences forestières: Moabi, Ayous, FrakéDabéma, Pachiloba, Mantali, Pinous, flamboyant
Existence de pépinières forestières (Pachiloba, Mahogani)
Culture du Teck";;110206;0033
25;581;1102060028;"Instauration du «Jeudi propre» pour le nettoyage de la ville
Sensibilisation et répression  contre les emballages plastiques
Collecte  de plastique non biodégradable avec l’appui des autorités municipales";;110206;0028
26;582;1102060838;"Urbanisation croissante de la commune
Existence d’unservice technique  de l’aménagement et du développement urbain, de l’hygiène et de l’assainissement au sein de laMairie";;110206;0838
27;583;1102060837;Disponibilité des terres;;110206;0837
28;584;1102060419;"Disponibilité des plantes médicinales
Appui technique des services de l’IRAD EN matière de semences améliorées.";;110206;0419
29;585;1102060921;"Existence d’un marché dans l’espace urbain
Existence de nombreuses échoppes, quincailleries, débits de boisson
Existence de contrôles des prix par les agents de la délégation du commerce
Existence d’un fichier des commerçants
Proximité avec la ville d’Obala et de Yaoundé pour l’approvisionnement et l’écoulement des produits.
Organisation des ventes groupées du cacao.
Existence d’un marché périodique (tous les dimanches)";;110206;0921
30;586;1102060516;"Existence d’une aire de jeu
Présence d’un délégué d’arrondissement du sport à Batchenga";;110206;0516
31;587;1102060939;"Existence d’un bureau d’enregistrement  des artisans
Diversité des activités de l’économie locale";;110206;0939
32;588;1102060829;"Existence de carrières de sable (fin et Sanaga)
Existence d’une carrière de pierre";;110206;0829
33;589;1102060846;"Présence de 127 motos taximen regroupés en association (ASCOMOBA) 
Présence de 32 chauffeurs de taxi brousse regroupés en association et en syndicat";;110206;0846
34;590;1102060545;"Existence des services de la poste
Existence d’une antenne de relais Orange et MTN";;110206;0545
35;591;1102060517;"Utilisation d’antennes paraboliques
Utilisation de moyens informels pour transmettre des informations (lieux de cultes/ réunions)
Bonne réception du signal radio et Télé.(CRTV)";;110206;0517
36;592;1102060418;"Présence de jeunes bacheliers dans la ville
Proximité de la Commune avec la ville universitaire de Yaoundé.";;110206;0418
37;593;1102060307;"Existence d’une Brigade de Gendarmerie
Existence de quelques SDE
Existence d’un poste de police ";;110206;0307
38;594;1102020930;"Climat équatorial de type guinéen à quatre saisons favorable à l’agriculture  
Bas-fonds permettent de faire des cultures de contre saison";Terre fertile, Bas-fonds ;110202;0930
39;595;1102020832;"Présence d’une nappe phréatique riche  
Présence du réseau électrique  
Présence des cours d’eau et sources naturelles à usage ménagé  
Pratique de la petite pêche ";"Ressource en eau potable  
Energie électrique ENEO CAMEROUN  
Cours d’eau et sources naturelles ";110202;0832
40;596;1102020829;Possibilité d’exploitation des mines pour construction des habitats et vente ;Sable, gravier, bauxite, laterite, gisement de fer ;110202;0829
41;597;1102020033;Présence des espèces médicinales des PFNL du bois de chauffe et d’œuvre ;Les collines constituent un handicap ;110202;0033
42;598;1102020523;"Lieu de prière et recueillement  
Construction desmaisons ";"Grotte  
Rocher
Emaico 
Rocher Ebessa 
Embouchures de la lekié et bodo ";110202;0523
43;599;1102020931;"Bas fonds permettant la création des étangs piscicoles  
Présence des cours d’eau poissonneux ";"Cours d’eau/ rivière  
Bas fonds maricageux ";110202;0931
44;601;1101040846;"Proximité avec les villes de Douala et d’Edéa .
routes en terre quasi praticables en saison des pluies.
";Marchés d’approvisionnement et d’écoulement des produits agricoles et maritimes.;110104;0846
45;602;1101040523;Proximité à la mer présence permanente de nombreux cours d’eau.;Disponibilité des produits maritimes et des sites touristiques (lac Tissongo Mariemberg etc);110104;0523
46;603;1101040930;Conditions agro-écologiques favorables à la pratique de nombreuses spéculations agropastorales.;"Terres arables, et hydromorphes
pluviométrie élevée, -couvert végétal important .";110104;0930
47;604;1101040931;"Possibilité de développer la pêche industrielle, semi industrielle et la pisciculture .
Conditions favorables de développement de l’élevage des espèces non conventionnelles et de préservation de l’écosystème.";"Disponibilité des produits maritimes .
disponibilité des espèces fauniques à apprivoiser et à élever.
existence d’une ferme de 500 poulets à Ndogmongo";110104;0931
48;605;1101040028;Produits forestiers non ligneux et de la mangrove.;Disponibilité des espèces émergents et des essences forestières rares.;110104;0028
49;606;1101040514;Zone de rencontre et d’échange de culture.;"Population nombreuse et diversifiée .
main d’œuvre importante,";110104;0514
50;607;1101040921;Produits de pêche et de l’agriculture.;Existence de quelques infrastructures marchandes.;110104;0921
51;608;1101010415;Espace disponible (terrain),  Présence de 14 écoles primaires et 07 écoles maternelles, Ecole publique de Mekomba créée (non construite), Bon fonctionnement de l’APEE, Partenariat avec Sosucam et ADIC, Présence d’une jeunesse en âge scolaire. ;;110101;0415
52;609;1101010640;Énergie solaire, Suivi régulier des femmes enceintes, Existence de plantes médicinales, Routes bitumées, Présence d’infrastructures sanitaires, Présence d’un délégué de santé, 700 m² de terrain de HDS disponible. ;;110101;0640
53;610;1101010836;SOSUCAM, Route interdépartementale, Route reliée à la nationale N°1, Route principale bitumée ;;110101;0836
54;611;1101010930;"Cohésion sociale,Travaux de groupe,Hospitalité,Réseau hydrographique important, Terres disponibles et fertiles, Fort intérêt pour l’agriculture, Existence de nombreux GICS, Existence de grandes plantations, Existence de postes agricoles (celui de Ndo non construit), Centre d’Action et d’Education communautaire (non construit)
";;110101;0930
55;612;1101010832;Proximité de la ligne électrique haute tension, Chute d’eau, Soleil, Forage, Existence de sources non aménagées, Présence d’AES/ Sonel et de la CDE ;;110101;0832
56;613;1101010425; Présence d’élèves, Terrains disponibles, Présence d’établissements scolaires, Partenariat avec Sosucam et ADIC ;;110101;0425
57;614;1101010516;"Terrains disponibles pour construction, Forte présence des jeunes, Pratique du sport, Existence d’un terrain de football à Mbandjock
";;110101;0516
58;615;1101010545;"Présence des collines, Forte présence humaine, Existence des réseaux CAMTEL, ORANGE ET MTN et bientôt Viettel
";;110101;0545
59;616;1101010426;" Forte présence, Existence de nombreux jeunes solidaires et dynamiques, Existence d’association des jeunes
";;110101;0426
60;617;1101010921;"Produits agricoles disponibles, Vente dans les champs, Route bitumée, Forte présence de salariés, Existence de grandes fermes (élevage porc, bœuf, volaille), Présence de voies routières et ferroviaire
";;110101;0921
61;618;1101010931;"Aliments pour bétail disponibles, Climat favorable, Savane (espace), Existence des GICS et associations des éleveurs, Disponibilité de la main d’œuvre pastorale, Existence de services d’encadrement, Présence de cours d’eau et de ressources halieutiques, Terres disponibles pour l’élevage, vaste espace de pâturage et marécage, Sites disponibles pour les étangs piscicoles, Existence d’un centre zootechnique
";;110101;0931
62;619;1101010243;52% de la population est féminine et jeune;;110101;0243
63;620;1101010742; Cohésion familiale, Assistance familiale, Existence de structures étatiques d’encadrement, Association des personnes vulnérables existantes ;;110101;0742
64;621;1101010829;Disponibilité des ressources minières (Sable, latérite, argile, granite, ….);;110101;0829
65;622;1101010033;"Milliers d’hectares de savane, mais aussi de galeries forestières, Abondance et diversité de la faune
";;110101;0033
66;623;1101010419;"Existence d’industries, Présence de nombreux étudiants
";;110101;0419
67;624;1101010837;"Vastes étendues de terres, Vulgarisation des procédures d’obtention du titre foncier, Accompagnement des demandeurs de titres fonciers
";;110101;0837
68;625;1101010735;" Présence de nombreux jeunes,Main d’œuvre disponible, Existence d’industries, Présence de centres de formation
";;110101;0735
69;626;1101010028;" Existence d’une forêt vierge, Savane, Foret riche en essences végétales et fauniques, Foret communautaire, 200 ha d’espace verts 
";;110101;0028
70;627;1101010514; Existence de la dance NKOUE, Présence de jeunes volontaires, Présence de groupes de danses, Existence de plusieurs groupes ethniques, Existence de plusieurs langues et cultures, Existence d’un patrimoine matériel et immatériel,  Cohabitation intergénérationnelle ;;110101;0514
71;628;1101010523;" Présence de nombreux Sites touristiques, Hospitalité des populations, Existence d’une voie ferroviaire, Ville desservie par la route nationale n°1, Auberges, Champs de cannes, Paysage de savane
";;110101;0523
72;629;1101010418;"Existence de stage de vacance à la commune, Présence de nombreux étudiants
";;110101;0418
73;630;1101010741;"Présence de SOSUCAM, Nombreux travailleurs, Main d’œuvre abondante et volontaire, Existence d’industries, Présence de centres de formation, Existence de syndicats
";;110101;0741
74;631;1101010517;"Existence du signal radio,  Présence humaine importante, Terrain disponible
";;110101;0517
75;632;1101010838;" Disponibilité des matériaux locaux (sable…), Existence de carrière de sable, Existence de bois, Carrières de pierres
";;110101;0838
76;633;1101010307;"Bonne hiérarchisation de la chefferie, Patrouille de la gendarmerie, Population, Bonne collaboration entre les autorités administratives, les chefs de village et les
communautés
";;110101;0307
77;634;1101010939;"Production agricole, Main d’œuvre abondante et volontaire, Intrants disponibles, Fort potentiel client, Présence d’une route bitumée, Présence de GIC, Transformation artisanale, Existence de plusieurs corps de métiers, Existence d’association au sein de certains corps de métiers
";;110101;0939
78;635;1101010846;Présence de moto-taximen, Ville traversée par la nationale N°1 et reliant le Centre de l’est et du Nord, Potentiels voyageurs très élevés;;110101;0846
79;636;1101060028;Favorable à l’agriculture, l’élevage ;"Climat équatorial de type guinéen à quatre saisons
";110106;0028
80;637;1101060028;"Favorable aux cultures constructions, travaux publics.
";Présence de vastes étendus de terres arables, latéritiques, sablonneux, pierres, ferralitiques, marécageux;110106;0028
81;638;1101060028;"Pratique de la pêche, de l’agriculture irriguée et réponses des besoins en eau des populations.
";"Présence de nombreux cours d’eau permanent
";110106;0028
82;639;1101060028;"Potentiel touristique important, bas fond pour les cultures, maraîchères,
";"Bas fonds, plaines, montagnes
";110106;0028
83;640;1101060033;"Source intarissable de protéines et d’origines d’origine animale
";Faune riche et diversifiée;110106;0033
84;641;1101060033;"Disponibilité des espèces médicinales et des produits forestiers non ligneux, du bois de chauffe et de matériaux de construction de base
";Présence de forêt primaire, secondaire et tertiaire ;110106;0033
85;642;1101060930;"Terres arables et favorables à l’agriculture
";"Dynamisme des populations
";110106;0930
86;643;1101060921;Permanences des acheteurs et revendeurs ;"Hangar de PELA, Arrêt train de ZING
";110106;0921
87;644;1101060514;"Favorable à la fabrication des objets de culture et des objets d’art.
";"Raphia, rotin, palmier à huile, bambou de chine, forêt
";110106;0514
88;645;1101050523;"le grand Rocher parcourant presque toute la Commune
savane très dense par endroits;
Sols très riches";Plusieurs sites touristiques à Messessa, Zoa 1, Meyete, Atolo, Simbane 1, Ekang et Mvebekone 1;110105;0523
89;646;1101050033;Une forêt dense contenant plusieurs espèces fauniques: Chimpanzé, Gorilles, Holacaudes et des espèces floristiques variées exploitables: Ebène, Azobé, Ayos Sapéli, Baobab, Moabi, beté, Iroko, Movinga, Bibinga, Bulinga etc...dont l’exploitation pourrait offrir à la Commune d’énormes entrées pour ce qui est des recettes communales;Plusieurs essences ligneuses et non ligneuses, Espèces fauniques variées;110105;0033
90;648;1704020930;"Climat favorable à l’agriculture
Présence des zones de production agricole (Tessé, Tse, Djione, Présence des bas fonds (Soung, Pète, plaine de Togodjo)
Présence des services d’encadrement des producteurs
Existence des projets et programmes de développement qui accompagnent les producteurs et leur accordent des subventions (PNVRA, PACA)";;170402;0930
91;649;1704020931;"Climat favorable à la pratique des activités pastorales
Présence des services d’encadrement des éleveurs
Présence de grandes fermes (FAVICAM/SPC, Ferme TALOM, Ferme du GIC POSS, Ferme du GIC EAKO, Superbe Ferme Royale.)
Existence des projets et programmes de développement qui accompagnent les éleveurs et leur accordent des subventions (PACA)";;170402;0931
92;650;1704020837;"Présence de la délégation départementale des domaines et affaires foncières sur le territoire de la commune
Présence des espaces pour la construction des logements sociaux (Dja, Pète)";;170402;0837
93;651;1704020838;"Voirie urbaine de la commune bitumée
Présence des espaces pour la construction des logements sociaux (Dja, Pète)
Présence de la délégation départementale du développement urbain et de l’habitat sur le territoire de la commune";;170402;0838
94;652;1704020028;"Présence du service d’hygiène et salubrité dans la commune
Présence de la délégation départementale de l’environnement et de la protection de la nature sur le territoire de la commune";;170402;0028
95;653;1704020033;Présence de la délégation départementale des forêts et de la faune sur le territoire de la commune;;170402;0033
96;654;1704020307;"Présence de la préfecture du Koung – Khi sur le territoire de la commune
Présence des SDE dans la commune
Présence des centres spéciaux d’état civil";;170402;0307
97;655;1704020418;Présence de deux instituts universitaires dans la commune (Institut Universitaire de Technologie FOTSO Victor, Université Evangélique du Cameroun);;170402;0418
98;656;1704020742;"Existence d’un service d’encadrement et d’accompagnement des personnes handicapées et vulnérables (Centre Social de Bandjoun),
Existence des associations d’encadrement des personnes vulnérables (ESES de Famleng, CAPJAMJ de Mbemtum)";;170402;0742
99;657;1704020243;"Présence de la délégation départementale de la promotion de la femme et de la famille sur le territoire de la commune
Présence d’un centre de promotion de la femme
Présence des réseaux et plusieurs associations féminines dans la commune";;170402;0243
100;658;1704020426;Existence des projets et programmes d’encadrement et de financement des microprojets des jeunes (PIASI, PAJER-U, PNA (Programme National d’Alphabétisation);;170402;0426
101;659;1704020516;"Présence d’un stade municipal
Présence d’une aire de jeu à Demsim (village Kayo)
Présence de la délégation départementale du sport et de l’éducation physique sur le territoire de la commune";;170402;0516
102;660;1704020846;"Présence de la délégation départementale des transports sur le territoire de la commune
Présence d’une association de moto taxi (GRASMOTA)
Présence des agences de voyages
Présence des gares routières";;170402;0846
103;661;1704020735;"Présence de la délégation départementale de l’emploi et de la formation professionnelle sur le territoire de la commune
Présence de la SAR/SM
Présence des structures privées de formation professionnelle";;170402;0735
104;662;1704020939;"Présence de la délégation départementale des PME sur le territoire de la commune
Présence des micro-entreprises qui opèrent dans le secteur informel";;170402;0939
105;663;1704020523;"Présence des structures d’hébergement
Présence des sites touristiques à viabiliser";;170402;0523
106;664;1704020514;"Présence des foyers communautaires dans les villages
Existence d’un patrimoine culturel diversifié (danses traditionnelles, langue « GHOMALA »)";;170402;0514
107;665;1704020829;"Existence des sites des ressources naturelles exploitables (carrières de pierres)
Présence de la délégation départementale de l’industrie, mines et développement technologique sur le territoire de la commune";;170402;0829
108;666;1704020921;"Présence de la délégation départementale du commerce sur le territoire de la commune
Présence des marchés (Bandjoun centre, Tessé, Sekakouo, Hiala, Tobe)";;170402;0921
109;667;1704020545;"Présence des services de transfert d’argent
présence d’un réseau de téléphonie mobile avec 03 opérateurs (MTN, CAMTEL, ORANGE),
présence des cybers café";;170402;0545
110;668;1704020741;Présence de la délégation départementale du travail et de la sécurité sociale sur le territoire de la commune;;170402;0741
111;669;1704020517;"Présence de la délégation départementale de la communication sur le territoire de la commune
Présence des kiosques à journaux
Présence des câblots opérateurs
Présence des signaux radio et télévision dans la commune";;170402;0517
112;670;1704020836;"Présence de la délégation départementale des travaux publics sur le territoire de la commune
Présence de nombreuses routes bitumées
Présence des routes nationales N°4 et N°5 dans la commune";;170402;0836
113;671;1101070921;Terres arables et favorables à l’agriculture;Dynamisme des populations;110107;0921
114;672;1101070514;Favorable à la fabrication des objets de culture et des objets d’art.;Raphia, rotin, palmier à huile, bambou de chine, forêt;110107;0514
115;673;1110030930;"Zone favorable au développement des activités de manière extensive
Présence de services et personnels qualifié du MINADER dans la Commune
";"Culture, Commerce :
Cacao (1500 tonnes/an) Manioc :
750 sacs couscous/an
1500 tonnes en tubercules/an";111003;0930
116;674;1110030931;"Zone favorable au développement des activités d’élevage
Présence de plusieurs cours d’eau et d’un fleuve
Présence de services et personnels qualifié du MINEPIA dans la Commune";Élevage des caprins (900), porcins (900), volailles (9010), rats (07), lapins (25), oies (12), dindes (05), ovins (470);111003;0931
117;675;1110030837;Présence de services et personnels qualifié du MINDAFdans le Département;"Immatriculation des terrains
Règlement des conflits domaniaux";111003;0837
118;676;1110030028;Présence de services et personnels qualifié du MINEPDED dans le Département;Activités de sensibilisation;111003;0028
119;677;1110030033;Présence de services et personnels qualifié du MINFOF dans la Commune;"Reboisement
Développement de la biodiversité
Chasse (Pièges, Fusil, chiens)
Lutte contre le braconnage";111003;0033
120;678;1110030307;"Présence de chefferies de 2ème et 3ème degré.
Présence des autorités administratives et FMO dans la Commune.";"Coordination administrative
Maintien de l’ordre
Protection des Hommes et biens
Administration des biens publics
Règlement des litiges frontaliers et fonciers";111003;0307
121;679;1110030418;Présence d’un cycle d’ingénieur à l’ENEF de Mbalmayo.;Assurer la formation académique, encadrer et orienter les étudiants.;111003;0418
122;680;1110030426;Présence de services et personnels qualifié du MINJEUN dans la Commune;"Insertion économique des jeunes
Insertion sociale des jeunes et de l’éducation citoyenne
Encadrement des CNJC
Sensibilisation et mobilisation des groupes de jeunes à la création et àlégalisation des associations ;
Organisation des stages de vacances ;
Construction et équipement des centres multifonctionnels de promotiondes jeunes ;
Sensibilisation des jeunes sur les grands fléaux sociaux
Animation socioculturelle, etc.
Alphabétisation";111003;0426
123;681;1110030516;Présence de services et personnels qualifié du MINSEP dans la Commune.;"Encadrement et formation des jeunes
Formation et promotion des sports collectifs et individuels
Mise en place des lieux de loisirs";111003;0516
124;682;1110030846;Présence de services et personnels qualifié du MINTRANS dans le Département.;"Organisation du secteur de transport par moto ;
Transport des personnes et des biens
Transport interurbain (voiture ; moto ; camion ; porte-tout,unimorques)";111003;0846
125;683;1110030735;Présence de services et personnels qualifié du MINEFOP dans le Département;"Emploi et formation des jeunes
Insertion professionnelle des jeunes";111003;0735
126;684;1110030939;Présence de services et personnels qualifié du MINPMEESA dans le Département;Activités très diversifiées (menuiserie, restaurants, bureautique, cafétéria, micro finances);111003;0939
127;685;1110030419;"Présence de plusieurs ONG
Projets et programmes d’encadrement et d’accompagnement des populations dans divers domaines.";Recherche agropastorale;111003;0419
128;686;1110030523;Existence d’un fort potentiel touristique dans la Commune.;Valorisation du potentiel touristique Hébergement;111003;0523
129;687;1110030829;Exploitation des produits de carrières (sable, graviers).;Existence de plusieurs carrières de sable et de roches;111003;0829
130;688;1110030921;Présence de services et personnels qualifié du MINCOMMERCE dans le Département;"Création des marchés périodiques 
Modernisation des marchés urbains ";111003;0921
131;689;1110030545;Présence de services et personnels qualifié du MINPOSTEL dans le Département.;"Construction et équipement des télés centres Communautaires polyvalent (TCP)
Installation et amélioration des services postaux";111003;0545
132;690;1110030741;Présence de services et personnels qualifié du MINTSS dans le Département.;"Organisation de la fête de travail
Sensibilisation sur la protection de l’employé
Suivi et contrôle de la CNPS
Suivi du personnel du secteur privé";111003;0741
133;691;1110030517;Présence de services et personnels qualifié du MINCOM dans le Département.;Transmission des informations et communications.;111003;0517
134;692;1110030742;Présence de services et personnels qualifié du MINAS dans le Département.;Assistance  sociale  des  couches  vulnérables  (orphelins,handicapés…);111003;0742
135;693;1110030514;Présence d’un patrimoine culturel assez riche.;Valorisation de la culture (danse, animation culturelle.);111003;0514
136;694;1110030838;Présence de services et personnels qualifié du MINDUH dans le Département.;"Aménagement et entretien de la voirie
Exécution des ouvrages d’art";111003;0838
137;695;1803090921;"L’existence de cinq marchés ;";" Recettes fiscales
Taxes communales directes et indirectes";180309;0921
138;696;1803090415;La présence de plusieurs écoles maternelles et primaires;;180309;0415
139;697;1803090425;"La présence des établissements d’enseignement secondaire ;";;180309;0425
140;698;1803090418;"La présence d’une bibliothèque municipale ;
";;180309;0418
141;699;1803090640;La présence de plusieurs formations sanitaires;;180309;0640
142;700;1803090243;"La présence d’un centre de promotion de la femme et de la famille ;";;180309;0243
143;701;1803090836;Un chef lieu d’arrondissement traversé par une route bitumée;;180309;0836
144;702;1803090545;"L’existence de réseaux de télécommunication ;";;180309;0545
145;703;1803090832;L’existence des installations électriques AES Sonel, des plaques solaires et des groupes électrogènes;;180309;0832
146;704;1803090307;"Une position géographique stratégique (porte d’entrée de la ville de kribi) ;";;180309;0307
147;705;1803090829;"La présence de plusieurs sociétés industrielles
La présence de carrières de sable et de latérite";"Produits de l’exploitation du patrimoine communal
";180309;0829
148;706;1803090000;La présence des projets structurants en cours de réalisation dans la Commune;" Dotation diverses de l’Etat.
Des transferts issus de la coopération décentralisée";180309;0000
149;707;1803090514;La diversité culturelle avec la présence d’une dizaine de groupe humain;;180309;0514
150;708;1803090930;Une bonne proportion de sols fertiles estimés à plus de 1 600 hectares;;180309;0930
151;709;1803090033;L’existence des forêts riches en essences diverses, ressources fauniques et floristiques;;180309;0033
153;711;1803090028;"La présence de plusieurs cours d’eaux d’importance variée, tous très riches en ressources halieutiques ;";;180309;0028
154;712;1803090523;"La proximité de la mer
La présence de plusieurs dizaines de kilomètres de plages ;30
L’existence de plusieurs destinations touristiques à valoriser";;180309;0523
157;715;1803090426;Une population jeune et dynamique;;180309;0426
158;716;1401090832;"Existence de plusieurs points d’eau et du réseau CAM WATER. 
Existence du réseau électrique dans tous les villages.";"Existence des plusieurs cours d’eaux 
Existence de plusieurs chutes ";140109;0832
159;717;1401090930;"Fertilités des terres 
Fertilité des bas-fonds  
Existence d’une station IRAD ";"vastes terres fertiles 
bas- fonds 
climat favorable ";140109;0930
160;718;1401090829;Piste de collectes aménagées ;"Existence des carrières de sables et graviers 
";140109;0829
161;719;1401090921;"Existence de plusieurs variétés de produits agro-alimentaires.
Existence de plusieurs points de marché aménagés 
Proximité avec la villes de MBANGA, LOUM,NKONGSAMBA. ";;140109;0921
162;720;1401070545;Réseaux ORANGE, MTN et CAMTEL fonctionnels;Réseaux Téléphonique;140107;0545
166;724;1202050000;"La Commune de Dimako présente plusieurs opportunités pour son développement à savoir : 
Des ressources naturelles : forêt, faune, richesse du sol, des sites touristiques, des terres fertiles et un climat favorable 
Le  dynamisme  des  populations  et  leur  niveau  intellectuel  en  voie  de  développement  progressif 
Une agriculture diversifiée avec un potentiel élevé pour pratiquer sur de grande parcelle des terres cultivables 
Un conseil municipal actif avec une diversité ethnique et socioprofessionnelle ; •Une élite importante et intellectuelle 
Présence des réseaux Orange et MTN
Présence  des  carrières  de  sables,  de  latérites  de  sables  de  pierre,  d’indices  d’or  et  de  diamant. ";"Les principales ressources de la Communes comprennent 
Des Recettes Fiscales
Des Taxes communales Directes
Des Taxes Communales  Indirectes
Produits de l’exploitation du Domaine et Services Communaux 
Des Ristournes et Redevances consenties  par l’État
Des Subventions de Fonctionnement Reçues
Transfert reçu dans le cadre la coopération  décentralisée
Des autres produits et profits";120205;0000
