Enr;UnitePaysage;ID_PUGE;IDZone;Utilisation;Potentialite;Utilisateur;Probleme;Causes;Consequences;Solutions
422;Foret;512;110107;"Riverains
Utilisation interne et externe";Exploitation des produits non ligneux (okok, djangsang);Contrele par : MINFOP, MINATD, MINEP;"Division de la communaute
Delaissement des activites agricoles au profit de leexploitation forestieres.";;;Sensibilisation des populations sur les regles en vigueurs
423;Carriere de pierre;513;110107;"Riverains
Utilisation interne et externe";Sable, massif, roche, laterite;Contrele par : MINFOP, MINATD, MINEP;"Acces difficile, Ignorance des techniques deexploitations
Manque deequipement adequate
Manque de formation";;;"Renforcement des capacites des communautes
Sensibiliser les populations sur les regles en vigueurs
Appui des diversifications des AGR"
424;Cours deeau;514;110107;"Creation des acces,
Renforcement des capacites des exploitations,
Creation des GIC";Presence de plusieurs especes;Contrele par : MINFOP, MINATD, MINEP;"Acces difficile,
Manque deequipement
Ignorance des techniques de peches modernes";;;"Creation des acces
Renforcement des capacites des exploitations
Creation des GIC"
368;Sol;457;110201;Argiles;Gros gisement;;Non exploitation;;Non exploitation;Mettre en place une exploitation industrielle.
369;Cours deeau;458;110201;Cours deeau;"Poissons
Sable riviere
Hippopotames
Crocodiles
Serpents boas";"Peche 
Population
Pecheurs etrangers";;Diminution du niveau des eaux des cours deeau en saison seche e Janvier-Mars e;Disparition des especes aquatiques protegees;"Faire un etat des lieux
sensibilisation"
370;Foret;459;110201;Foret;"Diversite des essences de bois
Produits forestiers non ligneux
Especes fauniques (porc-epic lievres, biche, rats,
Plantes medicinales.";"La Commune ; le poste de contrele forestier et de Chasse.
Populations,
Exploitants forestiers";"Feu de brousse
Braconnage
Exploitation abusive du bois
Agriculture extensive";;Disparition de certaines especes animales et vegetales;"Sensibilisation des populations sur la limitation des feux de brousse et la pratique de leagriculture intensive
Sensibilisation sur la reglementation forestiere en vigueur"
371;Laterite;460;110201;;Assez important;;Acces difficile;Acces difficile;Faible exploitation;Faciliter la commercialisation
372;Pierres;461;110201;Exploitation artisanale;Gros gisements;Population;Absence deequipements;;Faible exploitation;"Encadrer leexploitation agricole ;
Mettre en place des exploitations industrielles."
373;Sable;462;110201;Exploitation partielle;Gros gisements;population;Acces difficile;;Faible exploitation;Faciliter la commercialisation
374;Espaces cultivables;463;110201;Agriculture;"Terre assez abondantes et peu fertiles
Cacao, palmier e huile, plantain, cultures vivrieres";population;"Pourriture brune des plantes
Presence des capsides
Attaque des plantes par les rongeurs, perturbations du climat";;Decouragement;Utilisation des produits phytosanitaires, des semences ameliorees, rotation des terres et utilisation des engrais
394;Foret plantee;484;110202;"Creation des plantations,
Petite chasse
Exploitation des bois
Recolte des PFNL";"Bois deeuvre
PFNL et plante medicinale
Espaces propice aux cultures";Familiale;"Essences forestieres
Faune
PFNL";;;"Faire un plan deamenagement des forets tertiaires qui permet de regenerer les essences qui sont detruites ou utilisees pour les besoins domestiques
Sensibiliser et informer les populations riveraines sur les differentes lois et les reglements sur la conservation des especes vegetales et fauniques"
395;Zones agricoles   ;485;110202;"Creation des cacaoyeres ;
Cultures vivrieres,
Chasse et cueillette
Plantes medicinales";"Terres arables
Presence des plantes medicinales
Presence des rochers (Granite et basalte) Disponibilite des pierres. Pour construction habitat";Familiale;"Jacheres
Cultures anciennes,
Palmiers naturels et arbres fruitiers";;;"Promouvoir des techniques de conservation et de restauration des sols par la mise en place des plantes ameliorantes ; la pratique de leagroforesterie
Developper la fabrication et leutilisation du compost dans les techniques culturales modernes"
396;Cours deeau;486;110202;"Petite peche
Extraction de sable,
Creation des etangs,
Bain et lessive
Cultures de contre saison et maraecheres
Extraction sable
Recolte vin de raphia
Exploitation des feuilles de raphia, les feuilles de betons de manioc
Creation des etangs";"Presence des produits de peche (poissons, crabes, huitres,e)
Differents animaux aquatiques
Presence de sable
Presence du sable/argile,
Presence deeau
Propice aux cultures de contre saison/maraecheres /cultures irriguees
Presence de raphia
Potentialite piscicole
Presence des rochers";Contrele par la population ou la famille;"Pierreux
Sableux
Poissonneux
Bas-fonds/Marecage (- Argileux / sableux
Hydro morphe)";;;"Pratiquer une peche selective (Ne pas pecher les petits poissons), Definir la taille des mailles de filets de peche e utiliser et determiner des periodes oe la peche est interdite
Ne pas jeter les bouteilles ou plastics ou dechets solides dans leeau
Creer des canaux de drainage durant les pratiques deexploitation (cf : utilisation actuelle)
Faire des amenagements pour un espace piscicole pouvant permettre la mise en place de plusieurs etangs."
397;Zones d'habitation;487;110202;"Habitat
Infrastructures";Securite / protection;Population et commune;"Seetend autour de la chefferie, et des centres administratifs
Construction en materiaux provisoires pour pres de 60 % dehabitats
Latrines traditionnelles e cete des logements";;;"Promotion de la valorisation des materiaux locaux pour la construction des habitats ameliores (utilisation des briques de terre stabilisees)
Construction des latrines ameliorees e une bonne distance des habitations et des points deeau"
398;Route;488;110202;Circulation des personnes et des biens;"Communication
Transport";"Administration
population";Routes non bitumees, sans reprofilage ni entretien regulier;;;Faire des entretiens reguliers pour plus deaccessibilite e la commune
399;Carriere Laterie;489;110202;Exploitation des pierres;Presence de basalte / granite;Proprietaire coutumier.;Sols ferralitiques, basalte;;;Exploitation et vente des pierres et laterites
384;Foret;474;110204;Agriculture;"  
Presence des essences exploitables abondante ";Communaute;Sol fertile;Faible densite;;"Reboisement,
Pratique deune agriculture intensive"
385;Foret;475;110204;"Chasse
Consommation, fabrication des objets deart eusage medicinal ";"Giboyeuse
Riche en PFNL et plantes medicinales";Communaute;Acces difficiles;Ombrophile;;"Creation et amenagement des pistes de collecte
Valoriser les produits forestiers non ligneux"
386;Savane ;476;110204;Agriculture;Fertile;Communaute;Risque de desertification;Vaste etendue;;Reboisement, et regeneration
387;Savane ;477;110204;"Chasse
Usage economique";"Giboyeuse
Presence deindices miniers";Communaute;Faible exploration du sous sol;Arbustive;;Investigation et recherche
388;Jachere;478;110204;"Culture de mais
Chasse
";"Favorable e la culture de mais
Giboyeuse
Fertile";Communaute;"Menace de disparition de la foret
Feux de brousse
Acces difficile
eliminer leusage des feux de brousse
";"Vastes
Reserve culturale
Arbustive
Usage des feux de brousse";;"Reboisement,
Creation des forets communautaires
Creation des pites de collectes
Sensibilisation"
389;Marecage;479;110204;"Culture maraichere
Collecte de feuilles de raphia et de bambous
Chasse";"Bambous
Raphia";Berges de la Sanaga, de la Lekie, Mgbaba etc;"Acces difficile
Usage du feu";"Vastes
Presence des reptiles (boa)";;"Amenagement des berges pour faciliter leacces
Sensibilisation"
390;Cours d'eau / Rivieres ;480;110204;"Peche
Exploitation du sable";"Poissonneuses, presence des Hippopotames et Reptiles ( boa crocodiles)
Riche en crustace";Tous les villages;"Non navigables
Acces difficiles";"Presence de la Sanaga et de la Lekie et autres
Profondes
Autres Peu profondes";;"Amenagement des berges de la LEKIE et construction deun mini barrage aux chutes POUPOUMA cours deeau
Sensibilisation des populations"
391;Carriere de sable;481;110204;"Vente
Construction de maison";"AGR 
Materiel construction et deouvrages deart ";75% des villages; Sous exploite abondante ;"Bonne qualite 
Abondante
Sable riviere";;"Sensibilisation des populations
Organisation de la filiere"
392;Carriere Laterie;482;110204;"Entretien routier
";Amenagement de la route;80% de la commune;Faible exploitation;"importante
Bonne qualite
Sous exploite";;"Organisation de la filiere
Organiser et ameliorer leexploitation
Recenser les differents sites"
393;Carriere de pierre;483;110204;Construction dehabitat et ouvrages deart;economique et sociale;2/3 de la commune;Difficulte deexploiter;Qualite diverse;;"Faciliter leexploitation
Organiser les populations
Mobiliser les ressources"
16;Zones agricoles   ;19;110205;Culture vivriere et de rente (tubercules, cereales, cacao);Plusieurs dizaines dehectares,;"Population chercheurs, GIC et associations
";"Deboisement
Fertilite des sols reduite";Abattage des arbres, feux de brousse, labourage e la main,;Culture vivriere et de rente (tubercules, cereales, cacao);reboisement, fourniture en intrants agricoles formation des agriculteurs
17;Rocher;20;110205;Inexploitee;Superficie importante;"Present dans quelques villages Nto, Mbakomoe
";Enclavement, manque de materiel adequat, faible demande;;Exploitation de carriere de gravier;Etudes de faisabilite pour leur exploitation dans la conduite des chantiers de travaux publics
18;Marecage;21;110205;"Pratique de leagriculture
Culture maraichere (tomate, gombo, piment, e)";Faible ;Aux abords des cours deeau;"Faible amenagement des voies deacces
Baisse de la production agricole";"Labourage e la main,
Agriculture artisanale, Polyculture";Culture des plantes maraecheres,;"Formation des populations aux cultures maraecheres, facilitation de leacces aux intrants
Equipement des exploitants en bottes, gang, e"
19;Laterite;22;110205;Population, entreprises de BTP pour travaux deentretien deinfrastructures routieres;Assez important;Population, entreprises de BTP;Enclavement, faible  prospection;"Entreprises : engin de Travaux publics
Population exploitation manuelle artisanale";Entretien, rehabilitation et amenagement des routes et pistes;Envisager une exploitation industrielle pour les travaux publics
361;Sable;449;110206;"Construction/ commercialisation  
Population, entreprise de BTP Population, Commune";important;"Contrele par : MINFOF MINMIDT MINEPDED Commune /  
Creation des carrieres (Utilisation souhaitee)";Marecage, absence de voies deacces,  Manque de materiel moderne adequat, enclavement.;Outillage rudimentaire;;"renforcement deune reglementation communale et amenagement des voies deacces vers les carrieres ;
Renforcement des capacites des communautes ;
Creation des carriere."
362;Savane ;451;110206;"Agriculture, chasse et cueillette Population 
";"important 
";"Contrele par : Chefs de villages MINFOF MINEPDED / Amenagement des espaces de villegiature 
";"Feux de brousse 
sous exploitation 
faible mise en valeur  
";"Materiel rudimentaire 
";;"etudes de faisabilite en vue deune exploitation rationnelle  
Limitation des feux de brousse Creation des forets communales et communautaires Utilisation des methodes de gestion durable des terres ( assolement , jachere amelioree)  "
363;Marecage;452;110206;"Pratique de leagriculture  Culture maraichere (tomate, gombo, piment, e) 
Pisciculture Habitation  Population 

";"Moyen Bambou de raphia, bambou de chine, lianes. 
";"Contrele par : Commune MINEPDED 
Vulgarisation de la pisciculture 
";Deboisement Inondation Enclavement Feux de brousse Assechement ;"Materiel rudimentaire 
";;"Renforcement des capacites des communautes en preservation des zones de marecages 
Deguerpissement des habitations en zones marecageuses "
364;Cours d'eau / Rivieres ;453;110206;"Peche, extraction du sable, consommation, loisirs 
Population, Etat";Important Ressources halieutiques, sable  ;"Contrele par : MINEPIA MINEE MINEPDED MINTP Commune Chefs Populations 
Loisir et tourisme ";"Baisse de debit des cours deeaux en saison seche 
Diminution des produits halieutiques. 
Circuit de vente illicite de poisson 
Utilisation des produits chimiques pour la peche. deeau)   ";Materiel artisanal et rudimentaire ;;"Reglementation de leexploitation des cours deeau 
Sensibilisation sur la gestion durable des ressources en eau 
Amenagement des plages 
Viabilisation des berges du fleuve pour leamelioration de leoffre touristique communal 
"
365;Laterite;454;110206;"Entretien routiers 
Population, entreprise de BTP et Commune 
";Potentiel faible ;"Contrele par : MINMIDT Commune 
Creation des carrieres 
";"Acces difficile 
";Materiel rudimentaire ;;"Institution deune reglementation communale et amenagement des voies deacces vers les carrieres 
"
366;Foret;455;110206;"Chasse, collecte PFNL et pharmacopee, exploitation des essences  
MINFOF, MINEPDED, chercheurs, Etat, population, Commune ";"Potentiel important 
Riche en faune (petits rongeurs, herbivores sauvages, petit carnivores),  
Essences ligneuses :Padouk, moabi, bibinga 
Plantes medicinales PFNL  (Kola, okok, djansang) 
";"Contrele par : MINFOF MINATD MINEPDED Commune  Chefs 
Creation deune communale et des forets communautaires 
";Chasse abusive, deforestation, non reversement des redevances forestieres,  feux de brousse  ;"Materiel rudimentaire (Fusils artisanaux)  
Utilisation troneonneuses";;"Sensibilisation sur les dangers de leagriculture itinerante sur brulis, le braconnage, les feux de brousse, la coupe abusive du bois,  
promotion du reboisement 
creation des comites locaux de gestions des forets  "
367;Pierres;456;110206;"Etat, Commune, 
";Potentiel important ;Contrele par : MINMIDT Commune ;;"Technologie moderne (Engins lourd Bulldozer ) 
";;
360;Foret;448;110207;"Cultures annuelles (manioc, bananier plantain)
Cacaoculture";"Zone propice aux cultures perennes (cacaoyer)
";"Particuliers
Chef de village,
Chef de famille
Etat (MINFOFMINEP)";"Terres peu fertiles
Attaques des capsides
Attaques des mousses sur tiges
Vieillissement des plants de cacao
Pourritures brunes
Insectes et nematodes
Rongeurs
Termites
";" Presence de quelques arbres (Frake, Fromagers, Ayous,e) ; arbres fruitiers, Produits Forestiers Non Ligneux, palmiers e huile, bambous de chine, raphia
";;"Regeneration des ressources vegetales
Vulgarisation des foyers ameliores
Installation des pare-feux (foyers non inflammables)
Formation sur les pratiques culturales ameliorees
Vulgarisation des techniques deelevage des especes non conventionnelles
Vulgarisation des engrais et pesticides organiques
Sensibilisation sur la reglementation en vigueur
Creation des forets artificielles e vocation communautaire.
Renforcement des capacites des populations en techniques de regeneration des cacaoyeres
"
400;Pierres;490;110209;Travaux de construction;Important;"Contrele par la commune et le ministere
Libre aux populations autochtones";"Difficulte d'acces aux sites;
Outillage rudimentaire ; insuffisance de materiel pour exploitation ;
Exploitation artisanale
Insuffisance des moyens financiers construire des carrieres";;;"Amenagement des voies d'acces aux gisements ; ouverture des carrieres modernes d'exploitation."
401;Sable;491;110209;"Travaux locaux de construction
Pas exploite (Nkol Ngok, Nlong Onambele)";Important gisement de sable fin;Contrele par la commune et le ministere;"Acces difficile aux sites voies d'acces non amenagees difficulte d'acces e la ressource; 
Outillage rudimentaire
Non respect des normes environnementales
Faible organisation du secteur;
Insuffisance de debouches et de moyens financiers
Exploitation artisanale";;;"Amenagement et creation des voies d'acces aux gisements;
Ouverture des carrieres modernes d'exploitation.
Reglementation des exploitations
Acquisition des suceuses (Elang)"
402;Sable;492;110209;"Travaux locaux de construction
Pas exploite (Nkol Ngok, Nlong Onambele)";Moyen gisement de sable gros grains;Contrele par la commune et le ministere;"Acces difficile aux sites voies d'acces non amenagees difficulte d'acces e la ressource; 
Outillage rudimentaire
Non respect des normes environnementales
Faible organisation du secteur;
Insuffisance de debouches et de moyens financiers
Exploitation artisanale";;;"Amenagement et creation des voies d'acces aux gisements;
Ouverture des carrieres modernes d'exploitation.
Reglementation des exploitations
Acquisition des suceuses (Elang)"
403;Sable;493;110209;"Travaux locaux de construction
Pas exploite (Nkol Ngok, Nlong Onambele)
";Important gisement de sable gros grains;Contrele par la commune et le ministere;"Acces difficile aux sites voies d'acces non amenagees difficulte d'acces e la ressource; 
Outillage rudimentaire
Non respect des normes environnementales
Faible organisation du secteur;
Insuffisance de debouches et de moyens financiers
Exploitation artisanale
";;;"
Amenagement et creation des voies d'acces aux gisements;
Ouverture des carrieres modernes d'exploitation.
Reglementation des exploitations
Acquisition des suceuses (Elang)
"
404;Pierres;494;110209;Travaux de construction;Moyen;"Contrele par la commune et le ministere
Libre aux populations autochtones";"Difficulte d'acces aux sites;
Outillage rudimentaire ; insuffisance de materiel pour exploitation ;
Exploitation artisanale
Insuffisance des moyens financiers construire des carrieres";;;"Amenagement des voies d'acces aux gisements;
 ouverture des carrieres modernes d'exploitation."
276;Bas-fond;286;110301;Cultures maraecheres;2 % de la superficie de la Commune;;"Pratique de leagriculture traditionnelle
pollution des cours deeau par les engrais chimiques
Inondation";Sols fertiles;;
277;Bas-fond;287;110301;Extraction du sable;5% de la superficie de la Commune;;"Difficultes deacces aux differentes carrieres
Absence de recettes liees e leextraction du sable
Penibilite des travaux deextraction";Sols sablonneux;;
322;Bas-fond;332;110301;"Pratique de la pisciculture
Peche traditionnelle dans les mares";1% des zones de bas fonds;;"Pratique de la pisciculture traditionnelle
Insuffisance de moyens techniques deexploitation de ces zones
Productivite faible
Inondation";Terre hydro morphe;;
323;Plateaux;333;110301;Construction dehabitations;20% de la superficie de la Commune;;"Absence deun plan de lotissement
Litige foncier";Zone favorable e lehabitat;;
324;Plateaux;334;110301;Culture vivriere;20% de la superficie de la Commune;;"Pratique de leAIB
Destruction des cultures par les ravageurs";"Sols fertiles par endroit
Savane arbustive";;
325;Savane ;335;110301;"Construction dehabitations
Cultures vivrieres
Cultures de rente";90% de la superficie de la Commune;;"Construction anarchique des habitats
Insalubrite autour des habitats
Litiges fonciers";Lisiere des forets secondaire et avec des sols fertiles;;
326;Laterite;336;110301;Extraction de la laterite;15% de la superficie de la Commune;;"Acces difficile aux carrieres
Penibilites des travaux";Sols lateritiques;;
327;Marecage;337;110301;"Peche traditionnelle des silures et carpes en periode de decrue
Cultures vivrieres et maraicheres
Pepiniere cacaoyer";45% de la superficie de la Commune;;"Inondation des zones de terres cultivables
Pourriture des plantes";Presence deeau surplombant les sols, surtout le long des cours deeau;;
31;Foret secondaire;34;110504;Exploitation forestieres, pharmacopee traditionnelle, bois de chauffe, bois deeuvre, exploitation des PNFL, chasse ;Diversite ligneuse et faunique ;Tous les villages ;"Deforestation non contrelee 
Disparition des especes fauniques et forestieres 
Presence deEupatorium sp.et une espece vegetale envahissante ";;Exploitation forestieres, pharmacopee traditionnelle, bois de chauffe, bois deeuvre, exploitation des PNFL, chasse ;Reglementer la gestion 
32;Rocher;35;110504;Non exploitees ;Installation de carriere de gravier ;MEKOM, BISSONG, NGOUGOUMOU, NGOUNDOU, ETAOMBANG ;Acces difficile due au relief accidente ;;;Amenager les voies deacces  
33;Marecage;36;110504;Pratiques des cultures de contre saison, utilisation du raphia en artisanat et extraction du sable ;Pratique  de leagriculture ;Tous les villages ;Acces difficile ;;;Amenager les voies deacces  
34;Laterite;37;110504;Agriculture, elevage et habitat ;Extension des surfaces cultivables  ;Tous les villages ;Fertilite,  absence des pistes de collecte,  ;;;Utilisation des intrants et amenagement des pistes de desserte 
35;hydrographie;38;110504;Peche artisanale, usage domestique ;Irrigation des cultures Extraction du sable, pisciculture ;Tous les villages ;"Ensablement des lits de cours deeau ; retrecissement de au changement climatique  ";;;
36;Savane ;39;110504;Elevage de bovins dans la clandestinite  ;Peturage, extension des surfaces cultivables  ;AFANLOUM MEVAMEBOTO  NLONG  ;"Feux de brousse 
 ";;;Delimitation des zones de peturage  
