NEnr;IDZoneIDCadre;ID_Probleme;IDProbleme;Probleme;IDZone;Archive;IDCadre;IDSource;_MiseAJour
30;1401050837;30;140105PB0030;Insecurite fonciere des espaces occupes;140105;0;0837;0;
31;1401050418;31;140105PB0031;Insuffisance du nombre de diplemes du superieur dans la Commune;140105;0;0418;0;
32;1401050838;32;140105PB0032;Precarite de lehabitat ;140105;0;0838;0;
33;1401050846;33;140105PB0033;Precarite des conditions de transport;140105;0;0846;0;
34;1705060930;34;170506PB0034;Difficultes e developper une agriculture rentable;170506;0;0930;0;
35;1705060931;35;170506PB0035;Difficultes e developper un elevage rentable;170506;0;0931;0;
36;1705060837;36;170506PB0036;Difficultes deacces e la propriete fonciere;170506;0;0837;0;
37;1705060838;37;170506PB0037;Difficultes deamenager leespace urbain et faible developpement de lehabitat;170506;0;0838;0;
38;1705060028;38;170506PB0038;Difficultes e proteger durablement leenvironnement et la nature;170506;0;0028;0;
39;1705060033;39;170506PB0039;Difficultes de gestion durable de la foret et de la faune ;170506;0;0033;0;
40;1705060307;40;170506PB0040;Difficultes deacces aux services deadministration territoriale et de maintien de leordre;170506;0;0307;0;
41;1705060415;41;170506PB0041;Difficultes deacces  e une education de base de qualite;170506;0;0415;0;
42;1705060425;42;170506PB0042;Difficultes deacces e leenseignement secondaire de qualite;170506;0;0425;0;
43;1705060418;43;170506PB0043;Difficultes deacces e leenseignement superieur ;170506;0;0418;0;
44;1705060640;44;170506PB0044;Difficultes deacces aux soins de sante de qualite ;170506;0;0640;0;
45;1705060832;45;170506PB0045;Difficultes deacces e leeau potable ;170506;0;0832;0;
46;1705060832;46;170506PB0046;Difficultes deacces e leenergie electrique ;170506;0;0832;0;
47;1705060836;47;170506PB0047;Difficultes deacces  e un   reseau  routier de qualite;170506;0;0836;0;
48;1705060742;48;170506PB0048;Faible epanouissement des personnes vulnerables ;170506;0;0742;0;
49;1705060243;49;170506PB0049;Faible epanouissement de la femme et de la famille;170506;0;0243;0;
50;1705060426;50;170506PB0050;Faible epanouissement de la jeunesse;170506;0;0426;0;
51;1705060516;51;170506PB0051;Entrave e la  pratique du sport et de leeducation physique ;170506;0;0516;0;
52;1705060846;52;170506PB0052;Difficulte de deplacement des personnes et des biens;170506;0;0846;0;
53;1705060735;53;170506PB0053;Difficulte deacces e leemploi et e la formation professionnelle;170506;0;0735;0;
54;1705060939;54;170506PB0054;Difficulte e developper les PME et PMI;170506;0;0939;0;
55;1705060419;55;170506PB0055;Difficulte deacces  aux produits  de la recherche scientifique;170506;0;0419;0;
56;1705060523;56;170506PB0056;Difficulte e promouvoir le tourisme ;170506;0;0523;0;
57;1705060514;57;170506PB0057;Difficulte e promouvoir les valeurs culturelles;170506;0;0514;0;
58;1705060829;58;170506PB0058;Difficulte deexploitation miniere;170506;0;0829;0;
60;1705060545;60;170506PB0060;Difficulte deacces au reseau de telecommunication ;170506;0;0545;0;
61;1705060741;61;170506PB0061;Difficulte deacces e la securite sociale  des travailleurs ;170506;0;0741;0;
62;1705060517;62;170506PB0062;Difficulte deacces  e einformation et la communication de masse;170506;0;0517;0;
63;1606040930;63;160604PB0063;Insufficient agricultural products;160604;0;0930;0;
64;1606040930;64;160604PB0064;Inaccessible farm to roads;160604;0;0930;0;
65;1606040640;65;160604PB0065;Inadequate health delivery;160604;0;0640;0;
66;1606040640;66;160604PB0066;Insufficient Health Units;160604;0;0640;0;
67;1606040415;67;160604PB0067;Insufficient class rooms;160604;0;0415;0;
68;1606040415;68;160604PB0068;Inadequate staff;160604;0;0415;0;
69;1606040415;69;160604PB0069;Poor road net work;160604;0;0415;0;
70;1606040415;70;160604PB0070;Insufficient scholarships;160604;0;0415;0;
71;1606040425;71;160604PB0071;Fast dilapidation of schools e.g. GHS Njikwa;160604;0;0425;0;
72;1606040425;72;160604PB0072;Insufficient teachers;160604;0;0425;0;
73;1606040425;73;160604PB0073;Insufficient administrative blocks;160604;0;0425;0;
74;1606040425;74;160604PB0074;"Insufficient of other basic infrastructures e.g. toilets for students, pipe 
borne water
Insufficient chairs, desks, tables etc.";160604;0;0425;0;
75;1304070930;75;130407PB0075;Faible productivite agricole;130407;0;0930;0;
76;1304070931;76;130407PB0076;Faible productivite de leelevage;130407;0;0931;0;
77;1304070837;77;130407PB0077;Difficultes deappropriation des terres et des espaces;130407;0;0837;0;
78;1304070838;78;130407PB0078;Faible developpement urbain et de lehabitat;130407;0;0838;0;
79;1606040425;79;160604PB0079;Insufficient playgrounds in most schools;160604;0;0425;0;
81;1606040425;81;160604PB0081;Insecurity of school property;160604;0;0425;0;
82;1304070033;82;130407PB0082;Mauvaise gestion des ressources forestieres et fauniques;130407;0;0033;0;
83;1606040425;83;160604PB0083;Insufficient workshops, computer labs and equipment;160604;0;0425;0;
84;1304070307;84;130407PB0084;Difficulte deacces aux services administratifs decentralises et maintien de leordre;130407;0;0307;0;
85;1606040033;85;160604PB0085;No management of forestry products;160604;0;0033;0;
86;1606040742;86;160604PB0086;High crime wave;160604;0;0742;0;
87;1606040742;87;160604PB0087;OVC and marginalized people;160604;0;0742;0;
88;1606040921;88;160604PB0088;Insufficient commercial infrastructure;160604;0;0921;0;
89;1606040921;89;160604PB0089;Consumers interest is not protection  ;160604;0;0921;0;
90;1606040837;90;160604PB0090;Non obtaining of land certificates;160604;0;0837;0;
91;1606040028;91;160604PB0091;The environment is unprotected;160604;0;0028;0;
92;1606040028;92;160604PB0092;Sol erosion;160604;0;0028;0;
93;1606040931;93;160604PB0093;Farmer grazer problem;160604;0;0931;0;
94;1606040931;94;160604PB0094;Low level of productivity;160604;0;0931;0;
95;1606040931;95;160604PB0095;Lack of pasture management;160604;0;0931;0;
96;1606040832;96;160604PB0096;Insufficient and lack of pipe borne water;160604;0;0832;0;
97;1606040832;97;160604PB0097;Lack of electricity;160604;0;0832;0;
98;1606040243;98;160604PB0098;No involvement in productive activities;160604;0;0243;0;
99;1606040243;99;160604PB0099;No involvement in decision making;160604;0;0243;0;
100;1606040426;100;160604PB0100;Lack of recreational centers;160604;0;0426;0;
101;1606040426;101;160604PB0101;Unavailability of the service at the sub divisional level;160604;0;0426;0;
102;1606040426;102;160604PB0102;No financial resources to carry out youth education and sensitization;160604;0;0426;0;
103;1606040516;103;160604PB0103;Lack of sport centers;160604;0;0516;0;
104;1606040846;104;160604PB0104;Unconstructed motor parks;160604;0;0846;0;
105;1606040846;105;160604PB0105;Inconsistent supply of fuel;160604;0;0846;0;
106;1606040735;106;160604PB0106;High rate of unemployment ;160604;0;0735;0;
107;1606040939;107;160604PB0107;Lack of enterprises;160604;0;0939;0;
108;1606040829;108;160604PB0108;Lack of industries ;160604;0;0829;0;
109;1606040829;109;160604PB0109;"No electricity 
No machineries for processing and testing of minerals";160604;0;0829;0;
110;1606040523;110;160604PB0110;Enclaved sites;160604;0;0523;0;
111;1606040523;113;160604PB0113;"Absence of the divisional delegation
Absence of tourism culture and knowledge about the sector
Tradition and culture of the people
Undeveloped sites";160604;0;0523;0;
112;1606040514;114;160604PB0114;Insufficient community halls  and existence of cultural malpractices;160604;0;0514;0;
113;1606040514;115;160604PB0115;Loss of cultural values;160604;0;0514;0;
114;1606040741;116;160604PB0116;Labor code not respected;160604;0;0741;0;
115;1606040741;117;160604PB0117;Employer/employee relationship is poor;160604;0;0741;0;
116;1606040741;118;160604PB0118;Poor sensitization of CNPS procedures;160604;0;0741;0;
117;1606040741;119;160604PB0119;Ignorance and lack of knowledge on retirement and social benefits;160604;0;0741;0;
118;1606040838;120;160604PB0120;Poor  location of houses;160604;0;0838;0;
119;1606040838;121;160604PB0121;Unavailability of state owned building;160604;0;0838;0;
120;1606040419;122;160604PB0122;Research results and innovations not available for exploitation;160604;0;0419;0;
121;1606040838;123;160604PB0123;No experts in the sector in the council area;160604;0;0838;0;
122;1606040517;124;160604PB0124;Low level of communication;160604;0;0517;0;
123;1606040322;125;160604PB0125;No proper administration takes place;160604;0;0322;0;
124;1606040322;126;160604PB0126;Inaccessibility of the terrain for administration;160604;0;0322;0;
125;1606040418;127;160604PB0127;Lack of a higher educational institute;160604;0;0418;0;
126;1606040836;128;160604PB0128;Poor road net work;160604;0;0836;0;
127;1103010832;129;110301PB0129;Difficultes deacces e leeau potable ;110301;0;0832;0;
128;1103010640;130;110301PB0130;Difficultes deacces aux soins de sante de qualite ;110301;0;0640;0;
129;1103010415;131;110301PB0131;Mauvaises conditions deetude des enfants dans les ecoles maternelles et primaires;110301;0;0415;0;
130;1103010930;132;110301PB0132;Baisse de la production agricole;110301;0;0930;0;
131;1103010832;133;110301PB0133;Difficultes deacces e leenergie electrique de qualite;110301;0;0832;0;
132;1103010836;134;110301PB0134;Difficultes de circuler dans le village et les environs;110301;0;0836;0;
133;1103010000;135;110301PB0135;Difficultes de mise en oeuvre deune bonne gouvernance;110301;0;0000;0;
134;1304070028;136;130407PB0136;Difficulte de preservation de leenvironnement et de la protection de la nature;130407;0;0028;0;
80;1304070415;137;130407PB0137;Difficultes deacces e une education de qualite;130407;0;0415;0;
135;1304070425;138;130407PB0138;Difficultes deacces e leenseignement  secondaire;130407;0;0425;0;
136;1304070418;139;130407PB0139;Difficultes deacces e leenseignement superieur;130407;0;0418;0;
137;1304070640;140;130407PB0140;Difficultes deacces aux soins de sante de qualite;130407;0;0640;0;
138;1304070832;141;130407PB0141;Difficultes deacces e leeau potable et  e leenergie electrique;130407;0;0832;0;
139;1304070836;142;130407PB0142;Faible realisation et suivi des  travaux publics;130407;0;0836;0;
140;1304070742;143;130407PB0143; Difficultes deacces aux services sociaux de base;130407;0;0742;0;
141;1304070243;144;130407PB0144;Faible epanouissement de la femme;130407;0;0243;0;
142;1304070426;145;130407PB0145;Faible epanouissement de la jeunesse;130407;0;0426;0;
143;1304070516;146;130407PB0146;Difficultes deacces aux infrastructures de sports et deeducation physique;130407;0;0516;0;
144;1304070846;147;130407PB0147;"Difficultes deacces aux moyens de transport et aux infrastructures 
routieres";130407;0;0846;0;
145;1304070735;148;130407PB0148;Difficultes deacces e leemploi et e la formation professionnelle ;130407;0;0735;0;
146;1304070939;149;130407PB0149;Faible developpement des PME, economies sociales et de leartisanat;130407;0;0939;0;
147;1304070419;150;130407PB0150;Faible developpement de la recherche;130407;0;0419;0;
148;1304070523;151;130407PB0151;Faible promotion des activites touristiques;130407;0;0523;0;
149;1304070514;152;130407PB0152;Difficulte de promotion de la culture locale;130407;0;0514;0;
150;1304070829;153;130407PB0153;Faible developpement du tissu industriel;130407;0;0829;0;
151;1304070921;154;130407PB0154;Difficultes de developper les activites commerciales;130407;0;0921;0;
152;1304070545;155;130407PB0155;"Difficultes  deacces aux nouvelles technologies de leinformation et de la 
communication ";130407;0;0545;0;
153;1304070741;156;130407PB0156;Difficultes deacces aux services de securite sociale;130407;0;0741;0;
154;1304070517;157;130407PB0157;Difficultes deacces aux sources deinformation;130407;0;0517;0;
155;1303110832;159;130311PB0159;Difficultes deacces a leeau potable;130311;0;0832;0;
156;1303110930;160;130311PB0160;Difficultes lies aux activites agricoles;130311;0;0930;0;
157;1303110415;161;130311PB0161;Difficultes deaces a leeducation de base de qualite;130311;0;0415;0;
158;1303110640;162;130311PB0162;Difficultes deacces aux soins de sante primaire;130311;0;0640;0;
159;1303110931;163;130311PB0163;Difficultes liees e la pratique de leelevage;130311;0;0931;0;
160;1303110000;164;130311PB0164;Faible potentialite economique;130311;0;0000;0;
161;1303110836;165;130311PB0165;Mauvais etat des axes routiers de la ville de Yagoua;130311;0;0836;0;
162;1303110000;166;130311PB0166;faible capacite deintervention de la commune ;130311;0;0000;0;
163;1303110930;167;130311PB0167;Faible productivite agricole;130311;0;0930;0;
164;1303110000;168;130311PB0168;Difficulte de promouvoir le developpement economique dans la commune de Yagoua ;130311;0;0000;0;
165;1303110931;169;130311PB0169;Production animale insuffisante dans la commune de Yagoua;130311;0;0931;0;
166;1804040930;170;180404PB0170;Difficultes deacces e une agriculture rentable;180404;0;0930;0;
167;1804040931;171;180404PB0171;Faible valorisation du potentiel pastoral et halieutique local;180404;0;0931;0;
197;1606040838;201;160604PB0201;Nonexistence of framing plan;160604;0;0838;0;
198;1606040838;202;160604PB0202;Non acquisition of land certificates;160604;0;0838;0;
199;1606040838;203;160604PB0203;No planning map of the municipality;160604;0;0838;0;
200;1606040307;204;160604PB0204;No proper administration takes place;160604;0;0307;0;
201;1606040307;205;160604PB0205;Inaccessibility of the terrain for administration;160604;0;0307;0;
202;1804010930;206;180401PB0206;Faibles rendements;180401;0;0930;0;
204;1804010931;208;180401PB0208;Faible production pastorale et halieutique ;180401;0;0931;0;
205;1804010931;209;180401PB0209;Pertes post recoltes;180401;0;0931;0;
206;1804010837;210;180401PB0210;Precarite des occupations domaniales ;180401;0;0837;0;
207;1804010838;211;180401PB0211;Developpement anarchique des quartiers urbains;180401;0;0838;0;
208;1804010838;212;180401PB0212;Proliferation des habitations en materiaux provisoires ;180401;0;0838;0;
209;1804010028;213;180401PB0213;Pollution des cours deeau, des sols et de leair;180401;0;0028;0;
210;1804010028;214;180401PB0214;Defecation e leair libre;180401;0;0028;0;
211;1804010028;215;180401PB0215;Diminution du couvert forestier ;180401;0;0028;0;
212;1804010033;216;180401PB0216;Exploitation illicite du bois;180401;0;0033;0;
213;1804010033;217;180401PB0217;Exploitation   abusive du gibier ;180401;0;0033;0;
214;1804010307;218;180401PB0218;Faible acces aux services administratifs ;180401;0;0307;0;
215;1804010415;219;180401PB0219;Faible qualite de leeducation de base  ;180401;0;0415;0;
216;1804010425;220;180401PB0220;Faible acces e leenseignement secondaire ;180401;0;0425;0;
217;1804010418;221;180401PB0221;Faible acces aux etudes superieures;180401;0;0418;0;
218;1804010640;222;180401PB0222;Faible fonctionnalite des etablissements sanitaires locaux;180401;0;0640;0;
219;1804010832;223;180401PB0223;Faible couverture en electricite;180401;0;0832;0;
220;1804010832;224;180401PB0224;Insuffisance deeau potable;180401;0;0832;0;
221;1804010836;225;180401PB0225;Enclavement prononce de certains villages (36);180401;0;0836;0;
222;1804010742;226;180401PB0226;Faible encadrement des populations vulnerables (handicapes, personnes egees, enfants en detresse;180401;0;0742;0;
223;1804010742;227;180401PB0227;"Irresponsabilite parentale 
Faible organisation des cibles";180401;0;0742;0;
224;1804010742;228;180401PB0228;Acces difficiles des handicapes aux edifices publics;180401;0;0742;0;
225;1804010742;229;180401PB0229;"Maladies liees e la vieillesse
Deseuvrement Stigmatisation, isolement ";180401;0;0742;0;
226;1804010243;230;180401PB0230;Marginalisation de la femme;180401;0;0243;0;
227;1804010426;231;180401PB0231;Chemage des jeunes ;180401;0;0426;0;
228;1804010516;232;180401PB0232;Faible developpement des activites sportives ;180401;0;0516;0;
229;1804010846;233;180401PB0233;Insecurite routiere;180401;0;0846;0;
230;1804010846;234;180401PB0234;Coet eleve du transport  ;180401;0;0846;0;
231;1804010735;235;180401PB0235;Faible insertion professionnelle des jeunes ;180401;0;0735;0;
232;1804010939;236;180401PB0236;Climat local peu incitatif au developpement des PME;180401;0;0939;0;
233;1804010939;237;180401PB0237;Resistance des petits entrepreneurs locaux au paiement des taxes ;180401;0;0939;0;
234;1804010939;238;180401PB0238;Occupation anarchique des espaces urbains par les membres des differents corps de metiers;180401;0;0939;0;
235;1804010939;239;180401PB0239;Faible organisation des corps de metiers ;180401;0;0939;0;
236;1804010419;240;180401PB0240;Faible acces aux innovations scientifiques ;180401;0;0419;0;
237;1804010523;241;180401PB0241;Inexistence deactivites touristiques;180401;0;0523;0;
238;1804010514;242;180401PB0242;Perte des us et coutumes;180401;0;0514;0;
239;1804010829;243;180401PB0243;Faible exploitation du potentiel local de mines ;180401;0;0829;0;
240;1804010921;244;180401PB0244;Acces difficile aux marches;180401;0;0921;0;
241;1804010545;245;180401PB0245;Acces difficile aux TIC ;180401;0;0545;0;
242;1804010517;246;180401PB0246;Acces difficile e leinformation ;180401;0;0517;0;
243;1804010741;247;180401PB0247;Proliferation des emplois informels Chemage des jeunes;180401;0;0741;0;
244;1102050415;248;110205PB0248;Difficulte deacces e leeducation de base;110205;0;0415;0;
245;1102050640;249;110205PB0249;Difficultes deacces aux soins de sante de qualite;110205;0;0640;0;
246;1102050640;250;110205PB0250;Forte prevalence des IST et du VIH SIDA;110205;0;0640;0;
247;1102050832;251;110205PB0251;Difficultes deacces e leeau potable;110205;0;0832;0;
248;1102050832;252;110205PB0252;Difficulte deacces e leenergie electrique de qualite;110205;0;0832;0;
249;1102050837;253;110205PB0253;Difficulte dans la gestion des terres;110205;0;0837;0;
250;1102050931;254;110205PB0254;Difficultes e pratiquer un elevage et une peche rentables et durables;110205;0;0931;0;
251;1102050838;255;110205PB0255;Difficulte deacces e un habitat decent;110205;0;0838;0;
252;1102050028;256;110205PB0256;Difficulte e promouvoir une gestion saine de la nature et de leenvironnement;110205;0;0028;0;
253;1102050425;257;110205PB0257;Difficultes deacces e un enseignement secondaire de qualite;110205;0;0425;0;
254;1102050033;258;110205PB0258;Difficultes e conserver et promouvoir la foret et la faune;110205;0;0033;0;
255;1102050846;259;110205PB0259;Difficultes de deplacement des personnes et des biens;110205;0;0846;0;
256;1102050735;260;110205PB0260;Difficultes pour les populations e acceder e un emploi  decent et e la formation professionnelle;110205;0;0735;0;
257;1102050939;261;110205PB0261;Difficultes de promotion des PME et de leartisanat;110205;0;0939;0;
258;1102050419;262;110205PB0262;Difficulte e promouvoir la recherche scientifique et leinnovation  sociale;110205;0;0419;0;
259;1102050921;263;110205PB0263;Difficulte e developper une activite commerciale;110205;0;0921;0;
260;1102050829;264;110205PB0264;Difficulte e developper leindustrie miniere;110205;0;0829;0;
261;1102050523;265;110205PB0265;Difficulte e promouvoir le tourisme;110205;0;0523;0;
262;1102050514;266;110205PB0266;Difficulte e promouvoir la culture locale;110205;0;0514;0;
263;1102050836;267;110205PB0267;Insuffisance dans leentretien des ouvrages publics;110205;0;0836;0;
264;1102050243;268;110205PB0268;Difficulte deepanouissement de la femme et de la jeune fille;110205;0;0243;0;
265;1102050742;269;110205PB0269;Difficulte deepanouissement des personnes vulnerables;110205;0;0742;0;
266;1102050426;270;110205PB0270;Difficulte deepanouissement de la jeunesse;110205;0;0426;0;
267;1102050516;271;110205PB0271;Difficulte e developper les activites sportives;110205;0;0516;0;
268;1102050545;272;110205PB0272;Difficulte deacces aux services de telecommunications de qualite;110205;0;0545;0;
269;1102050517;273;110205PB0273;Difficultes deacces e un service de communication de qualite;110205;0;0517;0;
270;1102050741;274;110205PB0274;Difficulte deacces e la securite sociale;110205;0;0741;0;
271;1102050930;275;110205PB0275;Difficultes e pratiquer une agriculture rentable et durable;110205;0;0930;0;
272;1102050307;276;110205PB0276;Difficulte deacces aux services administratifs de qualite;110205;0;0307;0;
273;1102050418;277;110205PB0277;Difficultes dans la prise en charges et leinsertion des etudiants;110205;0;0418;0;
275;1110020930;279;111002PB0279;Baisse de la production agricole ;111002;0;0930;0;
276;1110020931;280;111002PB0280; Faible developpement de leelevage et de peche;111002;0;0931;0;
277;1110020837;281;111002PB0281; Difficultes deacces e la propriete fonciere ;111002;0;0837;0;
278;1110020838;282;111002PB0282; Faible developpement des villages et de la ville ;111002;0;0838;0;
279;1110020028;283;111002PB0283; Difficultes deapplication des mesures de protection environnementale ;111002;0;0028;0;
280;1110020033;284;111002PB0284; Mauvaise exploitation des forets et des ressources  fauniques ;111002;0;0033;0;
281;1110020307;285;111002PB0285; Insecurite grandissante dans les villages et la ville ;111002;0;0307;0;
282;1110020415;286;111002PB0286; Insuffisance des services dans leeducation de base ;111002;0;0415;0;
283;1110020425;287;111002PB0287; Insuffisance des services dans le secondaire ;111002;0;0425;0;
284;1110020418;288;111002PB0288; Difficulte de poursuite des etudes dans leenseignement superieur ;111002;0;0418;0;
285;1110020640;289;111002PB0289;Difficultes deacces aux soins de sante ;111002;0;0640;0;
286;1110020832;290;111002PB0290;Insuffisance de couverture en eau potable et en energie electrique ;111002;0;0832;0;
287;1110020836;291;111002PB0291; Mauvais etat des routes ;111002;0;0836;0;
288;1110020742;292;111002PB0292;Insuffisance deencadrement des indigents et ignorance des  services sociaux ;111002;0;0742;0;
289;1110020243;293;111002PB0293;Insuffisance deencadrement des femmes et ignorance des services du MINPROFF ;111002;0;0243;0;
290;1110020426;294;111002PB0294;Insuffisance deencadrement des jeunes et ignorance  des services du MINJEUN ;111002;0;0426;0;
291;1110020516;295;111002PB0295;Faible developpement des activites sportives;111002;0;0516;0;
292;1110020846;296;111002PB0296; Difficulte de mobilite des populations ;111002;0;0846;0;
293;1110020735;297;111002PB0297; Faible sollicitation des services du MINEFOP;111002;0;0735;0;
294;1110020939;298;111002PB0298;Faible sollicitation des services du MINPMEESA ;111002;0;0939;0;
295;1110020419;299;111002PB0299;"Difficultes de transformation et conservation des produits agro 
pastoraux et halieutique ";111002;0;0419;0;
296;1110020523;300;111002PB0300;Faible valorisation du potentiel touristique ;111002;0;0523;0;
297;1110020514;301;111002PB0301;Perte des valeurs culturelles ;111002;0;0514;0;
298;1110020829;302;111002PB0302;Difficultes deexploitation des ressources minieres;111002;0;0829;0;
299;1110020921;303;111002PB0303;Faible developpement des activites commerciales ;111002;0;0921;0;
300;1110020545;304;111002PB0304;Difficultes deacces aux services du MINPOSTEL ;111002;0;0545;0;
301;1110020741;305;111002PB0305;Absence de couverture sociale dans le secteur informel ;111002;0;0741;0;
302;1110020517;306;111002PB0306;Difficultes deacces aux medias audio visuel et ecrit;111002;0;0517;0;
303;1804010930;307;180401PB0307;Pertes post-recoltes elevees ;180401;0;0930;0;
203;1306060307;308;130606PB0308;Mauvaise gouvernance ;130606;0;0307;0;
304;1306060742;310;130606PB0310;Difficulte deacces aux services des affaires sociales ;130606;0;0742;0;
305;1306060930;311;130606PB0311;Difficulte e pratiquer une agriculture rentable ;130606;0;0930;0;
306;1306060921;312;130606PB0312;Developpement difficile des AGR ;130606;0;0921;0;
307;1306060517;313;130606PB0313;Difficulte deacces e une communication de qualite ;130606;0;0517;0;
308;1306060514;314;130606PB0314;Faible valorisation de la culture locale ;130606;0;0514;0;
309;1306060838;315;130606PB0315;Faible developpement urbain de Mokolo et de lehabitat dans learrondissement ;130606;0;0838;0;
310;1306060837;316;130606PB0316;Difficulte deacces e la propriete fonciere et au logement ;130606;0;0837;0;
311;1306060832;317;130606PB0317;Difficultes deacces e leeau potable ;130606;0;0832;0;
312;1306060832;318;130606PB0318;Faible assainissement de la ville et des villages ;130606;0;0832;0;
313;1306060832;319;130606PB0319;Difficultes deacces e leenergie electrique et aux  produits petroliers ;130606;0;0832;0;
314;1306060415;320;130606PB0320;Difficulte deacces e leeducation de base de qualite ;130606;0;0415;0;
315;1306060931;321;130606PB0321;Faible valorisation du potentiel pastoral et aquacole local ;130606;0;0931;0;
316;1306060735;322;130606PB0322;Difficulte deacces e leemploi et e la formation professionnelle ;130606;0;0735;0;
317;1306060425;323;130606PB0323;Difficulte deacces e leenseignement secondaire de qualite ;130606;0;0425;0;
318;1306060418;324;130606PB0324;Difficulte deacces e leenseignement superieur ;130606;0;0418;0;
319;1306060028;325;130606PB0325;Faible protection de leenvironnement et de la nature ;130606;0;0028;0;
320;1306060033;326;130606PB0326;Faible preservation de la foret et de la faune sauvage ;130606;0;0033;0;
321;1306060000;327;130606PB0327;Mauvaise image de marque de la commune ;130606;0;0000;0;
322;1306060426;328;130606PB0328;Faible epanouissement des jeunes ;130606;0;0426;0;
323;1306060939;329;130606PB0329;Faible developpement des PME, de leeconomie sociale  et de leartisanat ;130606;0;0939;0;
324;1306060545;330;130606PB0330;Difficulte deacces aux NTIC ;130606;0;0545;0;
325;1306060243;331;130606PB0331;Faible epanouissement de la femme et de la famille ;130606;0;0243;0;
326;1306060419;332;130606PB0332;Faible valorisation des produits de la recherche scientifique ;130606;0;0419;0;
327;1306060829;333;130606PB0333;Faible developpement des mines, de leindustrie et de leinnovation  technologique ;130606;0;0829;0;
328;1306060640;334;130606PB0334;Difficultes deacces aux soins de sante de qualite ;130606;0;0640;0;
330;1306060516;336;130606PB0336;Difficulte d'acces aux infrastructures de qualite  ;130606;0;0516;0;
332;1306060846;338;130606PB0338;Difficulte de deplacement des biens et des personnes ;130606;0;0846;0;
333;1306060836;339;130606PB0339;Mauvais etat des voies de communication ;130606;0;0836;0;
334;1306060523;340;130606PB0340;Faible developpement des activites touristiques ;130606;0;0523;0;
335;1303110930;341;130311PB0341;Faible productivite agricole;130311;0;0930;0;
336;1303110931;342;130311PB0342;Faible productivite animale et halieutique;130311;0;0931;0;
337;1303110837;343;130311PB0343;Acces difficile e un domaine  foncier securise;130311;0;0837;0;
338;1303110838;344;130311PB0344;Habitats precaires et Developpement anarchique des villes et villages;130311;0;0838;0;
339;1303110028;345;130311PB0345;Forte degradation de leenvironnement et  accroissement de la pollution;130311;0;0028;0;
340;1303110033;346;130311PB0346;Destruction et disparition de la faune et de la flore;130311;0;0033;0;
341;1303110307;347;130311PB0347;Mauvaise gouvernance ;130311;0;0307;0;
342;1303110415;348;130311PB0348;Acces difficile e leenseignement de base de qualite;130311;0;0415;0;
