Enr;IDPRessources;IDZone;Ressource;Caracteristique;UtilisationActuelle;Potentialite;Contrainte;ActionaMener;AccesControle;Archive;IDSource;_MiseAJour;CoordX;CoordY;CoordZ;ModeGestion;Tendances
44;44;110601;Forets;Degradation due e la coupe illegale du bois et  mauvaises pratiques agricoles;Populations locales, Etat. Culture, collecte des  PFL  et PFNL;Presence deune biodiversite floristique  et faunique ;Exploitation anarchique  et frauduleuse  des PFL et PFNL. Exploitation anarchique  des FC,  baisse  de  la production agricole ;Creer  des  comites de  vigilances  dans les villages, legaliser leexploitation, denoncer  les fraudeurs ;; ;0;;0;0;0;;
45;45;170701;Carrieres de pierres;;Populations locales (concasseurs de graviers) Chantiers de construction ;Granite Basalte ;Mauvais etat des voies deacces dans les carrieres Exploitation artisanale Conflits lies e leexploitation avec les populations riveraines;Rehabilitation des voies de desserte des carrieres Modernisation du materiel deexploitation Reversement des redevances minieres aux populations riveraines concernees ;; ;0;;0;0;0;;
46;46;110601;Carrieres  de  sable;Menace  de leenvironnement  notamment au  bord  du Nyong ;Populations locales, extraction  du sable  pour constructions ;Presence  de plusieurs varietes  de sable ;Difficultes deexploitation  des carrieres de sable ;Organiser  la communaute,  se rapprocher  des services  du MINMIDT;; ;0;;0;0;0;;
47;47;170701;Lateritique ;;Chantiers de construction ou deentretien routier ;;Conflits lies e leexploitation avec les populations riveraines Meconnaissance du potentiel de la ressource Faible valorisation pour leentretien des routes rurales Deficit des moyens materiels et financiers pour leexploitation;Reversement des redevances minieres aux populations riveraines concernees Valorisation pour leentretien des routes rurales ;; ;0;;0;0;0;;
48;48;110601;Rivieres;Diminution  des lis,  baisse  de la production ;Populations locales, approvisionnement  en  eau  et peche;Presence  de plusieurs especes  de poissons ;Faible developpement  de la peche, maladies hydriques ;Organiser  les pecheurs  en GIC  et Association ;; ;0;;0;0;0;;
49;49;170701;terres  cultivables,  produits  forestiers  ligneux  et  non  ligneux,  sites  touristiques  (chutes;;Artisans Vignerons ;Bambous Vin de palme ;Utilisation des bas-fonds pour les cultures maraecheres Destruction des raphias par les artisans en vue de la recolte des bambous ;Recolonisation des bas fonds par les raphias Sensibilisation des usagers sur le rele ecologique des raphias Delimitation des zones humides mis en defens ;; ;0;;0;0;0;;
50;50;110601;Fleuve ;Baisse  de  la production;Populations locales, approvisionnement  en  eau  et peche ;Presence  de plusieurs especes  de poissons ;Faible developpement  de la peche ;Organiser  les pecheurs  en GIC  et Association ;; ;0;;0;0;0;;
51;51;110601;Sites naturels ;Faible exploitation des sites;Visites ;Grottes;Sites  non amenages ;Creer  les  sites touristiques  et  les amenager;; ;0;;0;0;0;;
52;52;170204;Forets;;Population locale ;Bois peu developpes ; Rarefaction des especes fauniques Surexploitation des ressources ligneuses ;Creation deune pepiniere communalePlantation de nouveaux arbres Approvisionnement des jeunes plants deespeces forestieres pour reboisement des espaces vides;Chefs de familles ; ;0;;0;0;0;;
53;53;170204;Foret dense et marecages;;Chefs, notables, membres des societes secretes ;Bois peu developpes ;RAS;Assurer la perennisation des actions de conservation ;Chefs de villages ; ;0;;0;0;0;;
54;54;170204;Sable, pierre (granite), laterite;;Population;Potentiel inconnu Facilite la construction des maisons et puits ;Exploitation non contrelee Acces difficile aux carrieres de sable Manque de materiel deextraction adequat ;Construction de ponts sur les mayo  Acquisition du materiel moderne deextraction du sable Ouvrir leacces aux differentes carrieres ;Commune; ;0;;0;0;0;;
55;55;170204;Carrieres de pierres;;Population;Faciliter la construction des maisons ;Insuffisance de moyens pour estimer et exploiter la ressource ;Ouverture des voies deacces;Commune; ;0;;0;0;0;;
56;56;170204;Terres cultivables;;Toute la population ;Fort potentiel Sert e leelevage (peturage), leagriculture, la construction et le crepissage des maisons ;Perte progressive de fertilite  Conflits fonciers avec les eleveurs ;Sensibilisation sur la reglementation fonciere Materialisation des limites entre villages  Separation des zones de culture et de peturage ;Chefs de villages Chefs de familles ; ;0;;0;0;0;;
57;57;170204;Zones de cours deeau;;Toute la population Pecheurs ; Eau de consommati on Ressources halieutiques peu abondantes irrigation de champs, Presence de sable Sources de raphia, de montagne ;Reduction du debit en saison seche ;Construction de forages Regulation des extractions de sable ;Chefs de village Chefs de famille ; ;0;;0;0;0;;
58;58;170204;Plateau ;;Population locale ; Poissonneu x (poisons divers) ; Eutrophisation, due e leactivite agricole intense aux abords ;Regulation de leutilisation des bords du lac ;Chef de village ; ;0;;0;0;0;;
59;59;170204;Cultures de rente (cafe, cacao, palmier e huile);;Tous les habitants des villages ;Disponibles au sein de la foret ; Especes en voie de disparition ;RAS;Proprietaires des plantations ; ;0;;0;0;0;;
60;60;170302;Carrieres de pierres;;; inconnu ;les exploitants et proprietaires des sites des carrieres de laterite, sable et pierres  ne sont pas identifies et  les textes et lois regissant leur exploitation   ne sont pas  appliques   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  les voies deacces aux meilleurs  sites  en exploitation, (Exemple : la carriere de sable de TCHOUM) ne sont pas amenagees;identifier et recenser les extracteurs et  les proprietaires des sites  deextraction de sable.  - Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces ;Acces libre ; ;0;;0;0;0;;
61;61;170302;Carrieres  de  sable;;;inconnu;les exploitants et proprietaires des sites des carrieres de laterite, sable et pierres  ne sont pas identifies et  les textes et lois regissant leur exploitation   ne sont pas  appliques   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  les voies deacces aux meilleurs  sites  en exploitation, (Exemple : la carriere de sable de TCHOUM) ne sont pas amenagees   ;identifier et recenser les extracteurs et  les proprietaires des sites  deextraction de sable.  - Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces ;Acces libre ; ;0;;0;0;0;;
62;62;170302;Carrieres  de  sable;;;une vingtaine de camions extraits et entasse sur place ;les exploitants et proprietaires des sites des carrieres de laterite, sable et pierres  ne sont pas identifies et  les textes et lois regissant leur exploitation   ne sont pas  appliques   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  les voies deacces aux meilleurs  sites  en exploitation, (Exemple : la carriere de sable de TCHOUM) ne sont pas amenagees;identifier et recenser les extracteurs et  les proprietaires des sites  deextraction de sable.  - Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces;Proprietair es des sites ; ;0;;0;0;0;;
63;63;170302;Sable, pierre (granite), laterite;;;non estime ;les exploitants et proprietaires des sites des carrieres de laterite, sable et pierres  ne sont pas identifies et  les textes et lois regissant leur exploitation   ne sont pas  appliques   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  les voies deacces aux meilleurs  sites  en exploitation, (Exemple : la carriere de sable de TCHOUM) ne sont pas amenagees ;identifier et recenser les extracteurs et  les proprietaires des sites  deextraction de sable.  - Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces ;Terrain prive ; ;0;;0;0;0;;
64;64;170302;Lateritique ;;;non estime, mais Bamendjou est situe sur une cuirasse lateritique affleurant e divers endroits ;les exploitants et proprietaires des sites des carrieres de laterite, sable et pierres  ne sont pas identifies et  les textes et lois regissant leur exploitation   ne sont pas  appliques   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  les voies deacces aux meilleurs  sites  en exploitation, (Exemple : la carriere de sable de TCHOUM) ne sont pas amenagees;identifier et recenser les extracteurs et  les proprietaires des sites  deextraction de sable.  - Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces ;Terrain prive ; ;0;;0;0;0;;
65;65;170303;Carrieres  de  sable;;Population;Important;Voie deacces non amenagee ;Amenager la voie deacces ;Prive; ;0;;0;0;0;;
66;66;170303;Carrieres de pierres;;Proprietaire terrien ;Important;Voie deacces non amenagee ;Amenager la voie deacces ;Proprietaire terrien ; ;0;;0;0;0;;
67;67;170303;Lateritique ;;Population;Important;Voie deacces non amenagee ;Amenage la voie deacces ;Prive; ;0;;0;0;0;;
68;68;170101;Carrieres de pierres;;; 350 camions par saison ;Extracteur de sable non identifies   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  certains sites sont deacces difficile  conflits familiaux au site de Ntoungha ;Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   identifier et recenser les extracteurs de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces ;Acces libre ; ;0;;0;0;0;;
69;69;170101;Carrieres  de  sable;;;100 camions par saison ;Extracteur de sable non identifies   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha ;Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   identifier et recenser les extracteurs de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces ;Acces libre ; ;0;;0;0;0;;
70;70;170101;Carrieres  de  sable;;;50 camions par an;Extracteur de sable non identifies   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha ;Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   identifier et recenser les extracteurs de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces;Acces libre ; ;0;;0;0;0;;
71;71;170101;Carrieres de pierres;;;200 camions par an ;Extracteur de sable non identifies   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha ;Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   identifier et recenser les extracteurs de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces;Proprietaire s des sites ; ;0;;0;0;0;;
72;72;170101;Carrieres de pierres;;;Environ 1 ha;Extracteur de sable non identifies   aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha ;Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   identifier et recenser les extracteurs de sable   definir le mode de gestion des carrieres   recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   Amenager les voies deacces ;Acces libre ; ;0;;0;0;0;;
73;73;170101;Lateritique ;;;Environ 2 ha ;Une aire de jeu existante sur le site ;;Terrain prive ; ;0;;0;0;0;;
74;74;170101;terres  cultivables,  produits  forestiers  ligneux  et  non  ligneux,  sites  touristiques  (chutes;;;Environ 17 Km2 ;envahissement par les especes indesirables  destruction des galeries forestieres ;Classer la partie  sensible des monts Bamboutos comme zone e ecologie integrale ;Peturage communaut aire ; ;0;;0;0;0;;
75;75;170101;Foret dense et marecages;;;04  ha ;Exploitation clandestine  baisse de la biodiversite floristique ;Mettre sur pied un comite de surveillance de la foret et de reboisement ;Chef Bamedou ; ;0;;0;0;0;;
76;76;170505;Vastes  etendues  de  terre ;disponibles  pour  la  pratique  de  leagriculture,  elles  se retrouvent aussi bien en haute queen basse altitude. Du fait de son caractere de plaine en basse altitude, elle est propice e la mecanisation. On retrouve egalement des zones de savanes exploitees comme source de peturages pendant la  transhumance. ;;;;;; ;0;;0;0;0;;
77;77;170505;Fort potentiel hydrographique; la Commune regorge en son sein de nombreux cours deeau, rivieres et  sources dans les villages. Cette eau est utilisee pour la boisson, pour les   besoins   domestiques,   pour   leirrigation   des   superficies   cultivees   et   pour   le deplacement entre certains villages de la Commune notamment Ngang et Mbokou. La zone de basse altitude est constamment inondee ce qui est propice e la pratique de la riziculture.;;;;;; ;0;;0;0;0;;
78;78;170505;Flore et Faune; elles se retrouvent dans tous les villages et sont exploitees pour leexploitation du bois deeuvre et  de service,  pour leextraction des produits medicinaux, pour  leexploitation  des  produits  forestiers  non  ligneux  pour  la  pratique  des  us  et coutumes (forets sacrees) et pour la Consommation.;;;;;; ;0;;0;0;0;;
79;79;170505;Potentiel  touristique;  il  est  constitue  de  la  reserve  forestiere  et faunique  (Mokot, Mogot,  Mbongo,  Moyong,  Mbokou,  NdenMatock,  Mankang,  Bale  et  Ngang),  le  Mont Awa,  de  02  Lacs  e Sekou,  des  Chutes (Nteingue,  Nganzom  et Tawoum),  des grottes (Ngwatta et Nganzom), des rochers touristiques (Mela et Fiala-Fondonera)  et la Tombe deun allemand e Abou qui offriraient une attraction aux touristes.;;;;;; ;0;;0;0;0;;
80;80;170505;Passage de la Provinciale 17 ;le passage de cette route offre e la Commune de Santchou  des  facilites  en  termes  de  marche  pour  la  commercialisation  des  produits agricoles. Il permet egalement aux agriculteurs de beneficier facilement de la presence de  plusieurs  acheteurs  en  provenance  des   villes   de  Dschang, de Melong, de Nkongsamba et de Douala qui accedent aisement aux marches de Santchou.;;;;;; ;0;;0;0;0;;
81;81;170505;Structures deaccueil ; la Commune compte 05 auberges (Ampoule rouge, Auberge le palmier,  Auberge  manguier,  Cite  la  paix  et  de  Ngwatta),  01  hetel    (Yanze)  plusieurs restaurants  et  une  salle  dansante  e  Fongwang  pour lehebergement,  restauration  et divertissement.;;;;;; ;0;;0;0;0;;
82;82;170505;Dynamisme  de  la  population; la  Commune  de  Santchou  compte une  population estimee  e 46 249 habitants en 2014. Elle compte en son sein 03 principales ethnies (Bamilekes,  les  Mbos  et  les  anglophones).  Son  dynamisme  est  visible  au  travers  des diverses activites economiques queelle exerce. Aussi, le brassage interethnique observe ainsi   que   la   structure   de   leorganisation   sociale   sont   une   source   potentielle deinvestissement, deinnovations et de developpement.;;;;;; ;0;;0;0;0;;
83;83;170505;Services d'encadrement technique;la  Commune  compte  les  services  des Affaires Sociales, la DAJEC, la CAMPOST, le Service de District de Sante, la DAEPIA avec  02  CZV,  la  DAADER  avec  05  postes  agricoles,  deux  Commissariats,  une gendarmerie, le Conservatoire, la Sous-prefecture et leIAEB.;;;;;; ;0;;0;0;0;;
84;84;140101;terres  cultivables,  produits  forestiers  ligneux  et  non  ligneux,  sites  touristiques  (chutes;Les principales potentialites et ressources de la Commune seevaluent en termes de chutes sur certains cours deeau, de forets, de carrieres de pierre et de sable;;;;;; ;0;;0;0;0;;
85;85;140101;Sols; le sol fertile et propice e la pratique deune grande gamme de cultures. ;;;;;; ;0;;0;0;0;;
86;86;140101;Cultures de rente (cafe, cacao, palmier e huile);"En matiere de productions agricoles, outre les cultures vivrieres, on note en bonne place dans la Commune le cacao et surtout le cafeier robusta, culture de rente qui jadis constituait la source de revenu par excellence ; de plus en plus aujourdehui, on remarque un engouement encourageant pour la culture du palmier e huile qui brille par la presence de nombreuses unites artisanales deextraction de lehuile de palme et de lehuile de palmiste.";;;;;; ;0;;0;0;0;;
88;89;170401;Forets;;Bois de chauffe Menuiserie Populations,;Plusieurs milliers dehectares;Coupe abusive et/ou illegale du bois;"Creation de la foret communale et communautaire; Mise sur pied des mecanismes de contrele et de sanction des exploitants illegaux ;";MINFOF, commune; ;0;;0;0;0;;
87;90;170401;Carrieres de pierres;;Populations pour la construction;Ind (tres enorme); Pollution sonore;sensibiliser e leexploitation des pierres Participer aux actions de developpement du village; MINEE ; ;0;;0;0;0;;
89;91;170401;Carrieres  de  sable;;Population pour la construction ou la commercialis ation;Enorme; Difficultes deacces;Ouverture des pistes ou voies deacces;; ;0;;0;0;0;;
90;92;170401;Bas fonds ;; Populations ;Immense;"Difficultes deacces  Tensions avec les riverains Retrecissemen t du lit de rivieres ; - Disparition des especes de poissons";organisation du travail;; ;0;;0;0;0;;
91;93;170401;Rivieres;; Populations ;Immense;"Eaux polluees ; Lits des rivieres retrecies ; Envahissemen t des cours deeau par les plantes";"Non deversement des ordures menageres dans la riviere ; Curetage reguliers des abords des rivieres";; ;0;;0;0;0;;
